municipio;codigo_ibge;regiao_saude;papel;papel_rotulo;nome;cargo;telefone;celular;email;substituto;telefone_substituto;data_validacao;fonte;observacao
Cuiabá;5103403;Baixada Cuiabana;hospital_referencia;Hospital de referência;HOSPITAL ESTADUAL SANTA CASA;;(65)3618-8800;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 9841903. Substituir por contato institucional validado (90 dias).
Cuiabá;5103403;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Cuiabá;5103403;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Jangada;5104906;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;65 984411382;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Jangada;5104906;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;65 984411382;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Jangada;5104906;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;65 984411382;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Jangada;5104906;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Jangada;5104906;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Jangada;5104906;Baixada Cuiabana;hospital_referencia;Hospital de referência;MEDICAL CLINIC;;65 984411382;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 787000. Substituir por contato institucional validado (90 dias).
Jangada;5104906;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Jangada;5104906;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Nobres;5105903;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;(65)33762812;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Nobres;5105903;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;(65)33762812;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Nobres;5105903;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;(65)33762812;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Nobres;5105903;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Nobres;5105903;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Nobres;5105903;Baixada Cuiabana;hospital_referencia;Hospital de referência;HOSPITAL E MATERNIDADE LAURA VICUNA;;(65)33762812;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 2802473. Substituir por contato institucional validado (90 dias).
Nobres;5105903;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Nobres;5105903;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Nossa Senhora do Livramento;5106109;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;(65)3351-1133;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Nossa Senhora do Livramento;5106109;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;(65)3351-1133;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Nossa Senhora do Livramento;5106109;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;(65)3351-1133;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Nossa Senhora do Livramento;5106109;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Nossa Senhora do Livramento;5106109;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Nossa Senhora do Livramento;5106109;Baixada Cuiabana;hospital_referencia;Hospital de referência;HOSPITAL MUNICIPAL PROFESSORA MARIA ARLINDA DA COSTA;;(65)3351-1133;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 4069870. Substituir por contato institucional validado (90 dias).
Nossa Senhora do Livramento;5106109;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Nossa Senhora do Livramento;5106109;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Poconé;5106505;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;(65) 33452471;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Poconé;5106505;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;(65) 33452471;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Poconé;5106505;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;(65) 33452471;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Poconé;5106505;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Poconé;5106505;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Poconé;5106505;Baixada Cuiabana;hospital_referencia;Hospital de referência;ANALISIS LABORATORIO CLINICO;;(65) 33452471;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 5658268. Substituir por contato institucional validado (90 dias).
Poconé;5106505;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Poconé;5106505;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Rosário Oeste;5107701;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;65 98031684;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Rosário Oeste;5107701;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;65 98031684;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Rosário Oeste;5107701;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;65 98031684;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Rosário Oeste;5107701;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Rosário Oeste;5107701;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Rosário Oeste;5107701;Baixada Cuiabana;hospital_referencia;Hospital de referência;R S MED;;65 98031684;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 4027531. Substituir por contato institucional validado (90 dias).
Rosário Oeste;5107701;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Rosário Oeste;5107701;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Santo Antônio de Leverger;5107800;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;6533141229;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Santo Antônio de Leverger;5107800;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;6533141229;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Santo Antônio de Leverger;5107800;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;6533141229;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Santo Antônio de Leverger;5107800;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Santo Antônio de Leverger;5107800;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Santo Antônio de Leverger;5107800;Baixada Cuiabana;hospital_referencia;Hospital de referência;CENTRO DE TRIAGEM E ATENDIMENTO PARA SIMDROME GRIPAL COVID1;;6533141229;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 638137. Substituir por contato institucional validado (90 dias).
Santo Antônio de Leverger;5107800;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Santo Antônio de Leverger;5107800;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Várzea Grande;5108402;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;065 21370880;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Várzea Grande;5108402;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;065 21370880;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Várzea Grande;5108402;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;065 21370880;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Várzea Grande;5108402;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Várzea Grande;5108402;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Várzea Grande;5108402;Baixada Cuiabana;hospital_referencia;Hospital de referência;GRUPO OLHARES SAUDE E BEM ESTAR;;065 21370880;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 9674292. Substituir por contato institucional validado (90 dias).
Várzea Grande;5108402;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Várzea Grande;5108402;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
