municipio;codigo_ibge;papel;email;nome;telefone;observacao
Nossa Senhora do Livramento;5106109;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;(65)3351-1133;Preencher e-mail institucional validado pela SES-MT/SMS
Nossa Senhora do Livramento;5106109;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;(65)3351-1133;Preencher e-mail institucional validado pela SES-MT/SMS
Nossa Senhora do Livramento;5106109;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Nossa Senhora do Livramento;5106109;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Nossa Senhora do Livramento;5106109;hospital_referencia;;HOSPITAL MUNICIPAL PROFESSORA MARIA ARLINDA DA COSTA;(65)3351-1133;Preencher e-mail institucional validado pela SES-MT/SMS
Nossa Senhora do Livramento;5106109;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Nossa Senhora do Livramento;5106109;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Poconé;5106505;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;(65) 33452471;Preencher e-mail institucional validado pela SES-MT/SMS
Poconé;5106505;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;(65) 33452471;Preencher e-mail institucional validado pela SES-MT/SMS
Poconé;5106505;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;(65) 33452471;Preencher e-mail institucional validado pela SES-MT/SMS
Poconé;5106505;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Poconé;5106505;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Poconé;5106505;hospital_referencia;;ANALISIS LABORATORIO CLINICO;(65) 33452471;Preencher e-mail institucional validado pela SES-MT/SMS
Poconé;5106505;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Poconé;5106505;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Rosário Oeste;5107701;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;65 98031684;Preencher e-mail institucional validado pela SES-MT/SMS
Rosário Oeste;5107701;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;65 98031684;Preencher e-mail institucional validado pela SES-MT/SMS
Rosário Oeste;5107701;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;65 98031684;Preencher e-mail institucional validado pela SES-MT/SMS
Rosário Oeste;5107701;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Rosário Oeste;5107701;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Rosário Oeste;5107701;hospital_referencia;;R S MED;65 98031684;Preencher e-mail institucional validado pela SES-MT/SMS
Rosário Oeste;5107701;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Rosário Oeste;5107701;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Santo Antônio de Leverger;5107800;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;6533141229;Preencher e-mail institucional validado pela SES-MT/SMS
Santo Antônio de Leverger;5107800;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;6533141229;Preencher e-mail institucional validado pela SES-MT/SMS
Santo Antônio de Leverger;5107800;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;6533141229;Preencher e-mail institucional validado pela SES-MT/SMS
Santo Antônio de Leverger;5107800;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Santo Antônio de Leverger;5107800;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Santo Antônio de Leverger;5107800;hospital_referencia;;CENTRO DE TRIAGEM E ATENDIMENTO PARA SIMDROME GRIPAL COVID1;6533141229;Preencher e-mail institucional validado pela SES-MT/SMS
Santo Antônio de Leverger;5107800;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Santo Antônio de Leverger;5107800;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Várzea Grande;5108402;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;065 21370880;Preencher e-mail institucional validado pela SES-MT/SMS
Várzea Grande;5108402;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;065 21370880;Preencher e-mail institucional validado pela SES-MT/SMS
Várzea Grande;5108402;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;065 21370880;Preencher e-mail institucional validado pela SES-MT/SMS
Várzea Grande;5108402;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Várzea Grande;5108402;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Várzea Grande;5108402;hospital_referencia;;GRUPO OLHARES SAUDE E BEM ESTAR;065 21370880;Preencher e-mail institucional validado pela SES-MT/SMS
Várzea Grande;5108402;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Várzea Grande;5108402;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
